x,y,z,speed,acceleration,curvature,curvature_change_rate,time,theta,gear,s,throttle,brake,steering
584267.209563, 3141129.53235, 89.4318563141, 1.6875, 0.357467030164, 0.00523924773831, 0.310473940048, 1589792371.3687, 1.80833655813, 1, 0.016875, 13.3280000687, nan, 2.91223406792
584267.202715, 3141129.54585, 89.4316905764, 1.6875, 0.318164922932, 0.00523924773831, 0.0, 1589792371.3787, 1.80842827083, 1, 0.03375, 13.720000267, nan, 2.91223406792
584267.195843, 3141129.55937, 89.4315097152, 1.6875, 0.343185859961, 0.00523924773831, 0.0, 1589792371.3890, 1.80849478134, 1, 0.050625, 13.720000267, nan, 2.91223406792
584267.18894, 3141129.57293, 89.4313194428, 1.703125, 0.434397749787, 0.00523924773831, 0.0, 1589792371.4020, 1.80860131515, 1, 0.06765625, 14.5039997101, nan, 2.91223406792
584267.182005, 3141129.58652, 89.4311169897, 1.703125, 0.383277980656, 0.00523924773831, 0.0, 1589792371.4088, 1.80871422206, 1, 0.0846875, 14.5039997101, nan, 2.91223406792
584267.175041, 3141129.60014, 89.4308952117, 1.71875, 0.26958577402, 0.00523924773831, 0.0, 1589792371.4188, 1.80870689193, 1, 0.101875, 14.8959999084, nan, 2.91223406792
584267.168046, 3141129.61378, 89.4306549167, 1.71875, 0.354300698137, 0.00523924773831, 0.0, 1589792371.4286, 1.80886513487, 1, 0.1190625, 14.8959999084, nan, 2.91223406792
584267.161013, 3141129.62745, 89.4304032579, 1.71875, 0.314166344646, 0.00523924773831, 0.0, 1589792371.4408, 1.80895387681, 1, 0.13625, 15.2880001068, nan, 2.91223406792
584267.15394, 3141129.64114, 89.4301510906, 1.71875, 0.398661115681, 0.00523924773831, 0.0, 1589792371.4489, 1.80896101988, 1, 0.1534375, 15.2880001068, nan, 2.91223406792
584267.146831, 3141129.65486, 89.4299027185, 1.71875, 0.302660546645, 0.00523924773831, 0.0, 1589792371.4586, 1.80899059176, 1, 0.170625, 15.2880001068, nan, 2.91223406792
584267.13969, 3141129.66861, 89.429653944, 1.71875, 0.291731775534, 0.00523924773831, 0.0, 1589792371.4687, 1.80911683455, 1, 0.1878125, 15.6800003052, nan, 2.91223406792
584267.132509, 3141129.68238, 89.4294115431, 1.734375, 0.410331146272, 0.00523924773831, 0.0, 1589792371.4786, 1.80913019576, 1, 0.20515625, 15.6800003052, nan, 2.91223406792
584267.125292, 3141129.69618, 89.4291847244, 1.734375, 0.337160000985, 0.00523924773831, 0.0, 1589792371.4886, 1.80918031959, 1, 0.2225, 15.6800003052, nan, 2.91223406792
584267.118049, 3141129.71, 89.4289669211, 1.734375, 0.269556916025, 0.00526317468708, 0.00137957182072, 1589792371.4990, 1.80922564989, 1, 0.23984375, 16.0720005035, nan, 2.92553186417
584267.110778, 3141129.72385, 89.4287531078, 1.734375, 0.297186186495, 0.00526317468708, 0.0, 1589792371.5088, 1.80925756578, 1, 0.2571875, 16.0720005035, nan, 2.92553186417
584267.103478, 3141129.73772, 89.4285454791, 1.75, 0.303834922778, 0.00526317468708, 0.0, 1589792371.5189, 1.80934725373, 1, 0.2746875, 16.0720005035, nan, 2.92553186417
584267.096151, 3141129.75162, 89.4283473135, 1.75, 0.32081957066, 0.00526317468708, 0.0, 1589792371.5287, 1.80935471012, 1, 0.2921875, 16.0720005035, nan, 2.92553186417
584267.088797, 3141129.76554, 89.428163837, 1.75, 0.415071856316, 0.00526317468708, 0.0, 1589792371.5387, 1.80941979253, 1, 0.3096875, 16.0720005035, nan, 2.92553186417
584267.08142, 3141129.7795, 89.4279913428, 1.75, 0.316205379812, 0.00526317468708, 0.0, 1589792371.5494, 1.80941925614, 1, 0.3271875, 16.0720005035, nan, 2.92553186417
584267.074024, 3141129.79349, 89.42782313, 1.765625, 0.226323517749, 0.00523924773831, -0.00135515462035, 1589792371.5586, 1.80948559574, 1, 0.34484375, 16.0720005035, nan, 2.91223406792
584267.066607, 3141129.8075, 89.4276592737, 1.765625, 0.379069717314, 0.00523924773831, 0.0, 1589792371.5687, 1.80953267324, 1, 0.3625, 16.0720005035, nan, 2.91223406792
584267.059171, 3141129.82154, 89.4274954875, 1.765625, 0.362735240741, 0.00519139355771, -0.0027103252727, 1589792371.5786, 1.80953789192, 1, 0.38015625, 16.0720005035, nan, 2.885638237
584267.051715, 3141129.83562, 89.4273285654, 1.765625, 0.319534331008, 0.00516746675443, -0.00135514638082, 1589792371.5887, 1.80957462329, 1, 0.3978125, 16.0720005035, nan, 2.87234044075
584267.044243, 3141129.84972, 89.4271652812, 1.765625, 0.434998753452, 0.00511961286279, -0.00271030890695, 1589792371.6062, 1.80965627181, 1, 0.41546875, 16.0720005035, nan, 2.84574460983
584267.036759, 3141129.86386, 89.4270060763, 1.765625, 0.253064186601, 0.00511961286279, 0.0, 1589792371.6087, 1.80973931775, 1, 0.433125, 16.0720005035, nan, 2.84574460983
584267.029267, 3141129.87803, 89.4268474479, 1.78125, 0.252863591179, 0.00497605275221, -0.00805951497977, 1589792371.6186, 1.80977059835, 1, 0.4509375, 16.0720005035, nan, 2.7659573555
584267.028699, 3141129.89435, 89.4314390296, 1.78125, 0.447881067519, 0.00488034708314, -0.00537294984264, 1589792371.6286, 1.81010510338, 1, 0.46875, 16.0720005035, nan, 2.71276593208
584267.021004, 3141129.90853, 89.4311694643, 1.78125, 0.338235796576, 0.00478464214011, -0.00537290908269, 1589792371.6386, 1.81020029786, 1, 0.4865625, 16.0720005035, nan, 2.65957450867
584267.013419, 3141129.9228, 89.4309913438, 1.78125, 0.403692996541, 0.00466501163887, -0.00671609831476, 1589792371.6486, 1.81023107635, 1, 0.504375, 16.0720005035, nan, 2.59308505058
584267.005827, 3141129.93711, 89.4308135485, 1.796875, 0.374753183771, 0.00449753109582, -0.00932065630886, 1589792371.6586, 1.81029527218, 1, 0.52234375, 16.0720005035, nan, 2.5
584266.995827, 3141129.95352, 89.4306570471, 1.796875, 0.417377691274, 0.00430612695906, -0.0106520563067, 1589792371.6686, 1.81039655034, 1, 0.5403125, 16.0720005035, nan, 2.39361691475
584266.985791, 3141129.96997, 89.4304887762, 1.796875, 0.393448668787, 0.00416257608046, -0.00798891846159, 1589792371.6787, 1.81051493397, 1, 0.55828125, 16.0720005035, nan, 2.31382989883
584266.975727, 3141129.98644, 89.4303037268, 1.796875, 0.340813602338, 0.00397117635303, -0.0106518109175, 1589792371.6887, 1.81051629442, 1, 0.57625, 16.0720005035, nan, 2.20744681358
584266.965652, 3141130.00295, 89.4301075084, 1.796875, 0.418238604338, 0.00377977898859, -0.0106516794124, 1589792371.6994, 1.81060649188, 1, 0.59421875, 16.0720005035, nan, 2.10106372833
584266.955558, 3141130.0195, 89.4299065928, 1.796875, 0.54656676641, 0.00377977898859, 0.0, 1589792371.7090, 1.81067393064, 1, 0.6121875, 16.0720005035, nan, 2.10106372833
584266.945431, 3141130.03609, 89.429694773, 1.8125, 0.322805319962, 0.00334914350438, -0.0237591991286, 1589792371.7190, 1.81078236229, 1, 0.6303125, 16.0720005035, nan, 1.86170208454
584266.935271, 3141130.0527, 89.4294590896, 1.8125, 0.305572978128, 0.0031577532474, -0.0105594624544, 1589792371.7288, 1.81081778564, 1, 0.6484375, 16.0720005035, nan, 1.7553191185
584266.925081, 3141130.06935, 89.4292019537, 1.828125, 0.434021120856, 0.00296636486929, -0.0104691078624, 1589792371.7387, 1.8108690286, 1, 0.66671875, 16.0720005035, nan, 1.64893615246
584266.914857, 3141130.08603, 89.4289379248, 1.828125, 0.530855849301, 0.00275105496752, -0.011777635652, 1589792371.7488, 1.81093782222, 1, 0.685, 16.0720005035, nan, 1.52925527096
584266.904596, 3141130.10276, 89.4286759008, 1.828125, 0.556715996426, 0.00255967020387, -0.0104689101487, 1589792371.7586, 1.81097887674, 1, 0.70328125, 16.0720005035, nan, 1.42287230492
584266.894302, 3141130.11953, 89.4284125068, 1.828125, 0.31531120155, 0.00232044143125, -0.0130860183314, 1589792371.7690, 1.81102272313, 1, 0.7215625, 16.0720005035, nan, 1.28989362717
584266.883976, 3141130.13632, 89.4281347917, 1.84375, 0.317592314565, 0.00212905993413, -0.0103800134028, 1589792371.7786, 1.8110763233, 1, 0.74, 16.0720005035, nan, 1.18351066113
584266.873605, 3141130.15314, 89.4278561747, 1.84375, 0.485713267791, 0.00193767970376, -0.0103799446981, 1589792371.7887, 1.8111261223, 1, 0.7584375, 16.0720005035, nan, 1.07712769508
584266.863192, 3141130.17, 89.427591822, 1.84375, 0.442842909383, 0.00174630051903, -0.0103798879853, 1589792371.7992, 1.81116617828, 1, 0.776875, 16.0720005035, nan, 0.970744669437
584266.852742, 3141130.1869, 89.427327526, 1.84375, 0.431162152707, 0.00153100031991, -0.0116772989357, 1589792371.8090, 1.81118311578, 1, 0.7953125, 16.0720005035, nan, 0.851063847542
584266.842251, 3141130.20383, 89.4270539608, 1.859375, 0.462193260846, 0.00136354536715, -0.00900598065222, 1589792371.8190, 1.8112319746, 1, 0.81390625, 16.0720005035, nan, 0.757978737354
584266.831714, 3141130.22079, 89.4267746269, 1.859375, 0.413774362478, 0.00117216906504, -0.0102925070045, 1589792371.8286, 1.811178215, 1, 0.8325, 16.0720005035, nan, 0.651595771313
584266.821136, 3141130.23779, 89.4264998968, 1.875, 0.534081866822, 0.000861183930508, -0.0165858738416, 1589792371.8526, 1.81118601509, 1, 0.85125, 16.0720005035, nan, 0.478723406792
584266.810523, 3141130.25484, 89.4262312824, 1.875, 0.482162016272, 0.000861183930508, 0.0, 1589792371.8532, 1.81118989583, 1, 0.87, 16.0720005035, nan, 0.478723406792
584266.799869, 3141130.27192, 89.4259493961, 1.875, 0.339225243159, 0.000717652852978, -0.00765499080159, 1589792371.8586, 1.81118357994, 1, 0.88875, 16.0720005035, nan, 0.398936182261
584266.78917, 3141130.28902, 89.4256491228, 1.875, 0.385016935249, 0.000598043780401, -0.00637915053745, 1589792371.8686, 1.81116320397, 1, 0.9075, 16.0720005035, nan, 0.332446813583
584266.778439, 3141130.30615, 89.4253446998, 1.890625, 0.363516397534, 0.000478434846812, -0.00632642293361, 1589792371.8790, 1.81117178854, 1, 0.92640625, 16.0720005035, nan, 0.265957444906
584266.767686, 3141130.32333, 89.4250400931, 1.890625, 0.544085352797, 0.000382747802778, -0.00506113290761, 1589792371.8891, 1.81110889266, 1, 0.9453125, 16.0720005035, nan, 0.212765961885
584266.756909, 3141130.34055, 89.4247295974, 1.890625, 0.552877653641, 0.000287060788867, -0.00506113131429, 1589792371.9022, 1.81106258419, 1, 0.96421875, 16.0720005035, nan, 0.159574463964
584266.7461, 3141130.35781, 89.4244045222, 1.890625, 0.250179391062, 0.000287060788867, 0.0, 1589792371.9087, 1.81101814661, 1, 0.983125, 16.0720005035, nan, 0.159574463964
584266.73526, 3141130.3751, 89.4240647652, 1.890625, 0.468384523313, 0.000215295577337, -0.00379584589912, 1589792371.9188, 1.81101160735, 1, 1.00203125, 16.0720005035, nan, 0.119680851698
584266.724399, 3141130.39243, 89.4237256751, 1.90625, 0.566509919214, 9.56869151136e-05, -0.00627455277237, 1589792371.9287, 1.81095697351, 1, 1.02109375, 16.0720005035, nan, 0.0531914904714
584266.713527, 3141130.40982, 89.4233961579, 1.921875, 0.462675716705, 7.17651822061e-05, -0.00124470805372, 1589792371.9388, 1.81090318598, 1, 1.0403125, 16.0720005035, nan, 0.0398936159909
584266.702634, 3141130.42725, 89.4230738394, 1.921875, 0.512554194546, 7.17651822061e-05, 0.0, 1589792371.9497, 1.81083944527, 1, 1.05953125, 16.0720005035, nan, 0.0398936159909
584266.691715, 3141130.44472, 89.4227498047, 1.921875, 0.321943989908, 7.17651822061e-05, 0.0, 1589792371.9588, 1.81081525149, 1, 1.07875, 16.0720005035, nan, 0.0398936159909
584266.680778, 3141130.46222, 89.4224209825, 1.921875, 0.456846985135, 7.17651822061e-05, 0.0, 1589792371.9689, 1.81073609793, 1, 1.09796875, 16.0720005035, nan, 0.0398936159909
584266.669832, 3141130.47978, 89.4221040464, 1.9375, 0.561289013108, 9.56869151136e-05, 0.00123467008555, 1589792371.9786, 1.81073713169, 1, 1.11734375, 16.0720005035, nan, 0.0531914904714
584266.658876, 3141130.49738, 89.4218081864, 1.9375, 0.536950190453, 9.56869151136e-05, 0.0, 1589792371.9888, 1.81068505596, 1, 1.13671875, 16.0720005035, nan, 0.0531914904714
584266.647902, 3141130.51505, 89.4215180222, 1.953125, 0.618156133921, 9.56869151136e-05, 0.0, 1589792371.9998, 1.81071431236, 1, 1.15625, 16.0720005035, nan, 0.0531914904714
584266.636909, 3141130.53275, 89.4212197567, 1.953125, 0.320104053291, 9.56869151136e-05, 0.0, 1589792372.0087, 1.81068724283, 1, 1.17578125, 16.0720005035, nan, 0.0531914904714
584266.625905, 3141130.5505, 89.4209310445, 1.953125, 0.529799540901, 7.17651822061e-05, -0.00122479272486, 1589792372.0189, 1.81058167176, 1, 1.1953125, 16.0720005035, nan, 0.0398936159909
584266.614884, 3141130.56832, 89.420673063, 1.953125, 0.789999613878, 7.17651822061e-05, 0.0, 1589792372.0290, 1.8105813091, 1, 1.21484375, 16.0720005035, nan, 0.0398936159909
584266.603847, 3141130.58619, 89.4204349065, 1.96875, 0.461624928756, 7.17651822061e-05, 0.0, 1589792372.0389, 1.81053812245, 1, 1.23453125, 16.0720005035, nan, 0.0398936159909
584266.59279, 3141130.6041, 89.4201961573, 1.96875, 0.416347616934, 7.17651822061e-05, 0.0, 1589792372.0490, 1.81054417232, 1, 1.25421875, 16.0720005035, nan, 0.0398936159909
584266.581709, 3141130.62206, 89.4199629931, 1.96875, 0.511728016646, 7.17651822061e-05, 0.0, 1589792372.0588, 1.81047257985, 1, 1.27390625, 16.0720005035, nan, 0.0398936159909
584266.570612, 3141130.64008, 89.4197554119, 1.96875, 0.794435428269, 7.17651822061e-05, 0.0, 1589792372.0687, 1.81043071872, 1, 1.29359375, 16.0720005035, nan, 0.0398936159909
584266.559497, 3141130.65817, 89.4195692331, 1.984375, 0.680367224974, 7.17651822061e-05, 0.0, 1589792372.0809, 1.81039236959, 1, 1.3134375, 16.0720005035, nan, 0.0398936159909
